"State","year","Snow.depth.Count","Precipitation.Average","Max.Temperature.Average","Min.Temperature.Average"
"WY",1936,75.95652174,0.9958437,14.33085175,-2.546442703
"WY",1937,59.95652174,1.13996304,13.27872093,-2.817264912
"WY",1938,62.14285714,1.145194042,14.22746525,-1.47595025
"WY",1939,48.86363636,0.772146296,15.29545779,-2.062852378
"WY",1940,75.08695652,1.128536085,15.13122897,-1.207123533
"WY",1941,67.33333333,1.467736833,14.07902623,-1.024099177
"WY",1942,79.8,1.090358549,12.73138786,-3.044210143
"WY",1943,65.45454546,1.505557423,15.29786342,-1.569040773
"WY",1944,74.75,1.13667644,13.72774383,-2.447414021
"WY",1945,88.72727273,1.283641975,13.50883422,-1.791679143
"WY",1946,92.2,1.127603022,14.98996841,-0.676353938
"WY",1947,81.08333333,1.235424074,13.87596055,-1.51776459
"WY",1948,161,0.886350544,14.02867306,-2.547428911
"WY",1949,299.5853659,0.861744372,13.93788964,-2.473448198
"WY",1950,306.9268293,0.932888276,13.51521601,-2.453429771
"WY",1951,304.452381,0.914763228,12.92178133,-2.949767813
"WY",1952,305.4878049,0.699363821,14.98355263,-2.542909955
"WY",1953,292.4390244,0.743741562,15.32780363,-1.174462919
"WY",1954,324.35,0.648520417,15.4776122,-1.535591114
"WY",1955,306.5263158,0.867602214,13.16208022,-3.089155934
"WY",1956,283.425,0.638822673,14.45468288,-2.455912285
"WY",1957,282.9,0.978511932,13.60595229,-2.045775585
"WY",1958,281.5641026,0.756582362,14.80134726,-1.376663288
"WY",1959,268.6923077,0.721875097,13.83234009,-2.17077027
"WY",1960,296.325,0.572574167,14.3330307,-1.899864912
"WY",1961,288.625,0.758308333,14.02851097,-1.534607456
"WY",1962,311.15,0.889053125,14.422641,-1.720927794
"WY",1963,326,0.909719503,14.96571093,-1.282672847
"WY",1964,292.2307692,0.874304351,12.80347317,-3.20138752
"WY",1965,278.6842105,0.869247408,13.72426597,-1.778846847
"WY",1966,295.6578947,0.69529047,14.54226442,-2.011263468
"WY",1967,285.6756757,1.002876116,14.14830135,-1.391773096
"WY",1968,293.7894737,0.896273099,13.26728153,-2.561998649
"WY",1969,308.6842105,0.782396332,14.05401641,-2.354588594
"WY",1970,310.5128205,0.886385522,13.47922007,-2.410054213
"WY",1971,312.6666667,0.987052253,13.08846612,-2.49883655
"WY",1972,334.1315789,0.939877273,13.28507924,-2.304042102
"WY",1973,310.8717949,0.940315403,13.19143076,-2.319931194
"WY",1974,325.1282051,0.707644483,14.47238309,-2.1793405
"WY",1975,323.4102564,0.951864413,12.76567998,-3.105522318
"WY",1976,325.2307692,0.804879448,14.41171858,-2.392953974
"WY",1977,310.2051282,0.848783217,14.24893568,-2.591776705
"WY",1978,280.7948718,1.045973854,13.18271527,-2.934478708
"WY",1979,272.6578947,0.683487516,12.94491191,-3.574684398
"WY",1980,289.7105263,0.920445443,14.4874312,-1.808230978
"WY",1981,291.9736842,0.885994606,15.4544141,-1.026479942
"WY",1982,284.0789474,1.461125199,12.59100828,-2.680044613
"WY",1983,292.9473684,1.016153429,13.50940382,-1.60686348
"WY",1984,285.5,0.863009421,12.98088507,-2.436713339
"WY",1985,291.9189189,0.930129505,12.89059946,-3.338374242
"WY",1986,294.5675676,1.010726986,14.11790342,-1.043378961
"WY",1987,309.0810811,0.827717854,14.85423958,-0.861008442
"WY",1988,345.5263158,0.652181619,15.37810396,-1.347907407
"WY",1989,342.7105263,0.880650239,13.8736975,-1.95459798
"WY",1990,351.3589744,0.817645965,14.42284299,-1.28693758
"WY",1991,339.3076923,0.980573168,13.55834535,-1.416436186
"WY",1992,345.1578947,0.909467105,14.51224074,-1.394902778
"WY",1993,334.6578947,1.173251851,11.90389253,-3.097959325
"WY",1994,348.3684211,0.868421053,14.76431566,-1.19168771
"WY",1995,339.6923077,1.170286691,13.69513108,-1.221920978
"WY",1996,343.5675676,1.042019206,13.2862588,-2.137818182
"WY",1997,337.2105263,1.145102665,13.16032783,-1.759929012
"WY",1998,318.1538462,1.181124398,14.05533595,-0.611056634
"WY",1999,326.7692308,1.029708492,14.93981601,-0.963346452
"WY",2000,322.6410256,1.016221018,14.26967666,-1.549243305
"WY",2001,329.7948718,0.771832168,14.53955868,-1.364430016
"WY",2002,321.3333333,0.839861979,13.50362886,-2.119704955
"WY",2003,298.8292683,1.168738661,14.85473745,-0.604695183
"WY",2004,304.8536585,1.040385132,14.49579309,-0.780046348
"WY",2005,295.8536585,1.146936247,14.12301777,-1.478963351
"WY",2006,312.4878049,0.900646867,14.64122693,-1.097189732
"WY",2007,319.9756098,0.954339964,14.62429579,-1.07369428
"WY",2008,315.6046512,0.943943023,13.25801077,-2.285478741
"WY",2009,316.4651163,0.979006554,13.45179105,-1.813010029
"WY",2010,321.6976744,0.987203136,13.87673433,-1.454134145
"WY",2011,265.1904762,1.201869908,12.75165346,-2.260798701
"WY",2012,274.255814,0.729026759,15.26187569,-0.786861393
"WY",2013,317.255814,0.950726136,13.61670114,-1.557309091
"WY",2014,320.547619,1.112094328,13.98283048,-1.12490855
"WY",2015,316.4,1.038835227,15.36108674,0.026476136
